driver,sector,delta_time_sec,delta_brake_m,delta_throttle_m,delta_min_speed_kph
Flatout Sim Racing Rig 2,Serraglio,0.0188,81.3948,,1.9441
Flatout Sim Racing Rig 2,Ascari,0.0450,,26.9968,-3.6061
Flatout Sim Racing Rig 2,Parabolica,0.0219,82.4069,44.2907,1.0532
Flatout Sim Racing Rig 4,T1-T2 (Rettifilo),0.5520,9.3971,7.9631,-2.1336
Flatout Sim Racing Rig 4,Curva Grande,0.0971,,19.2709,-0.3027
Flatout Sim Racing Rig 4,Var. della Roggia,0.0795,52.0814,19.5659,1.0147
Flatout Sim Racing Rig 4,Lesmo 1-2,0.1721,35.5436,355.6041,0.5364
Flatout Sim Racing Rig 4,Serraglio,0.0706,88.5686,,1.8047
Flatout Sim Racing Rig 4,Ascari,0.0160,,43.5696,-2.2373
Flatout Sim Racing Rig 4,Parabolica,0.1517,93.6369,40.7244,-0.7473
Flatout Sim Racing Rig 7,T1-T2 (Rettifilo),0.2534,32.2728,-1.5605,-2.6088
Flatout Sim Racing Rig 7,Curva Grande,0.1574,,9.8102,-0.8158
Flatout Sim Racing Rig 7,Var. della Roggia,0.1393,53.4947,11.7264,-2.1316
Flatout Sim Racing Rig 7,Lesmo 1-2,0.2700,35.3266,342.3505,-1.6419
Flatout Sim Racing Rig 7,Serraglio,0.1076,84.8362,,0.0872
Flatout Sim Racing Rig 7,Ascari,0.1136,,31.9841,-4.3719
Flatout Sim Racing Rig 7,Parabolica,0.0427,103.1137,35.1272,0.7307
Gerry Verner,T1-T2 (Rettifilo),0.0905,17.6903,-36.2733,0.5078
Gerry Verner,Curva Grande,0.1234,,0.0000,-1.2837
Gerry Verner,Var. della Roggia,0.1222,37.3091,36.6639,-1.5964
Gerry Verner,Lesmo 1-2,0.1763,23.8334,330.5488,0.3469
Gerry Verner,Serraglio,0.0062,54.5468,,1.5577
Gerry Verner,Ascari,0.1039,,18.1292,-2.7742
Gerry Verner,Parabolica,0.2335,49.7277,17.1253,-0.6151
Jens Homann,T1-T2 (Rettifilo),0.3844,28.1691,1.2675,0.1401
Jens Homann,Curva Grande,0.2762,,11.6172,-1.9470
Jens Homann,Var. della Roggia,0.2113,68.2795,13.0723,-0.9892
Jens Homann,Lesmo 1-2,0.4187,52.8207,27.2332,-0.5595
Jens Homann,Serraglio,0.1163,126.0786,,1.1377
Jens Homann,Ascari,0.0971,,59.8208,0.0562
Jens Homann,Parabolica,0.3710,131.3991,56.3119,-1.3996
Joep van Tilburg,T1-T2 (Rettifilo),0.3433,13.5196,3.0614,-2.5688
Joep van Tilburg,Curva Grande,0.0654,,12.1511,-0.4518
Joep van Tilburg,Var. della Roggia,0.1893,30.6899,8.1575,-0.4039
Joep van Tilburg,Lesmo 1-2,0.1896,32.0542,28.2167,0.6308
Joep van Tilburg,Serraglio,0.0076,78.7008,,3.0243
Joep van Tilburg,Ascari,0.1922,,31.0426,-3.1579
Joep van Tilburg,Parabolica,0.2336,84.4863,48.4031,0.2202
John Knie,T1-T2 (Rettifilo),0.3625,14.7124,3.6922,0.3098
John Knie,Curva Grande,0.1913,,10.9423,-0.7562
John Knie,Var. della Roggia,0.1775,53.0325,20.1884,1.0470
John Knie,Lesmo 1-2,0.2945,39.6562,30.5007,1.5133
John Knie,Serraglio,0.1276,94.8123,,1.3337
John Knie,Ascari,0.2789,,50.1015,-0.2909
John Knie,Parabolica,0.3238,111.9917,62.0753,1.7456
Kiss Benedek,T1-T2 (Rettifilo),0.4097,25.5196,7.0788,-1.0482
Kiss Benedek,Curva Grande,0.1633,,12.6056,-0.7220
Kiss Benedek,Var. della Roggia,0.1521,50.8802,19.5774,0.8997
Kiss Benedek,Lesmo 1-2,0.2488,40.4350,26.4932,0.7916
Kiss Benedek,Serraglio,0.1051,95.9691,,1.1048
Kiss Benedek,Ascari,0.2483,,34.2557,-1.3235
